table,column,type
Album,AlbumId,INTEGER
Album,Title,NVARCHAR(160)
Album,ArtistId,INTEGER
Artist,ArtistId,INTEGER
Artist,Name,NVARCHAR(120)
Customer,CustomerId,INTEGER
Customer,FirstName,NVARCHAR(40)
Customer,LastName,NVARCHAR(20)
Customer,Company,NVARCHAR(80)
Customer,Address,NVARCHAR(70)
Customer,City,NVARCHAR(40)
Customer,State,NVARCHAR(40)
Customer,Country,NVARCHAR(40)
Customer,PostalCode,NVARCHAR(10)
Customer,Phone,NVARCHAR(24)
Customer,Fax,NVARCHAR(24)
Customer,Email,NVARCHAR(60)
Customer,SupportRepId,INTEGER
Employee,EmployeeId,INTEGER
Employee,LastName,NVARCHAR(20)
Employee,FirstName,NVARCHAR(20)
Employee,Title,NVARCHAR(30)
Employee,ReportsTo,INTEGER
Employee,BirthDate,DATETIME
Employee,HireDate,DATETIME
Employee,Address,NVARCHAR(70)
Employee,City,NVARCHAR(40)
Employee,State,NVARCHAR(40)
Employee,Country,NVARCHAR(40)
Employee,PostalCode,NVARCHAR(10)
Employee,Phone,NVARCHAR(24)
Employee,Fax,NVARCHAR(24)
Employee,Email,NVARCHAR(60)
Genre,GenreId,INTEGER
Genre,Name,NVARCHAR(120)
Invoice,InvoiceId,INTEGER
Invoice,CustomerId,INTEGER
Invoice,InvoiceDate,DATETIME
Invoice,BillingAddress,NVARCHAR(70)
Invoice,BillingCity,NVARCHAR(40)
Invoice,BillingState,NVARCHAR(40)
Invoice,BillingCountry,NVARCHAR(40)
Invoice,BillingPostalCode,NVARCHAR(10)
Invoice,Total,"NUMERIC(10,2)"
InvoiceLine,InvoiceLineId,INTEGER
InvoiceLine,InvoiceId,INTEGER
InvoiceLine,TrackId,INTEGER
InvoiceLine,UnitPrice,"NUMERIC(10,2)"
InvoiceLine,Quantity,INTEGER
MediaType,MediaTypeId,INTEGER
MediaType,Name,NVARCHAR(120)
Playlist,PlaylistId,INTEGER
Playlist,Name,NVARCHAR(120)
PlaylistTrack,PlaylistId,INTEGER
PlaylistTrack,TrackId,INTEGER
Track,TrackId,INTEGER
Track,Name,NVARCHAR(200)
Track,AlbumId,INTEGER
Track,MediaTypeId,INTEGER
Track,GenreId,INTEGER
Track,Composer,NVARCHAR(220)
Track,Milliseconds,INTEGER
Track,Bytes,INTEGER
Track,UnitPrice,"NUMERIC(10,2)"
